# qx qy lindhard_output_plain_off_-0.100eV
-0.37755102 -0.17346939 0.00000000
-0.37755102 -0.15306122 0.00000000
-0.37755102 -0.13265306 0.00000000
-0.37755102 -0.11224490 0.00000000
-0.37755102 -0.09183673 0.00000000
-0.37755102 -0.07142857 0.00000000
-0.37755102 -0.05102041 0.00000000
-0.37755102 -0.03061224 0.00000000
-0.37755102 -0.01020408 0.00000000
-0.37755102 0.01020408 0.00000000
-0.37755102 0.03061224 0.00000000
-0.37755102 0.05102041 0.00000000
-0.37755102 0.07142857 0.00000000
-0.37755102 0.09183673 0.00000000
-0.37755102 0.11224490 0.00000000
-0.37755102 0.13265306 0.00000000
-0.37755102 0.15306122 0.00000000
-0.37755102 0.17346939 0.00000000
-0.37755102 0.19387755 0.00000000
-0.37755102 0.21428571 0.00000000
-0.37755102 0.23469388 0.00000000
-0.37755102 0.25510204 0.00000000
-0.37755102 0.27551020 0.00000000
-0.37755102 0.29591837 0.00000000
-0.37755102 0.31632653 0.00000000
-0.37755102 0.33673469 0.00000000
-0.37755102 0.35714286 0.00000000
-0.37755102 0.37755102 0.00000000
-0.37755102 0.39795918 0.00000000
-0.37755102 0.41836735 0.00000000
-0.37755102 0.43877551 0.00000000
-0.37755102 0.45918367 0.00000000
-0.37755102 0.47959184 0.00000000
-0.37755102 0.50000000 0.00000000
-0.35714286 -0.50000000 0.00000000
-0.35714286 -0.47959184 0.00000000
-0.35714286 -0.45918367 0.00000000
-0.35714286 -0.43877551 0.00000000
-0.35714286 -0.41836735 0.00000000
-0.35714286 -0.39795918 0.00000000
-0.35714286 -0.37755102 0.00000000
-0.35714286 -0.35714286 0.00000000
-0.35714286 -0.33673469 0.00000000
-0.35714286 -0.31632653 0.00000000
-0.35714286 -0.29591837 0.00000000
-0.35714286 -0.27551020 0.00000000
-0.35714286 -0.25510204 0.00000000
-0.35714286 -0.23469388 0.00000000
-0.35714286 -0.21428571 0.00000000
-0.35714286 -0.19387755 0.00000000
-0.35714286 -0.17346939 0.00000000
-0.35714286 -0.15306122 0.00000000
-0.35714286 -0.13265306 0.00000000
-0.35714286 -0.11224490 0.00000000
-0.35714286 -0.09183673 0.00000000
-0.35714286 -0.07142857 0.00000000
-0.35714286 -0.05102041 0.00000000
-0.35714286 -0.03061224 0.00000000
-0.35714286 -0.01020408 0.00000000
